SWSN_ID,SWSN_Site,CerBeg,CerEnd,BegDate,EndDate,Rooms,NO_PITHOUSES,Ceramics,EASTING,NORTHING,Alternate.Site.Name,LA.Number,ASM.Number,ASU.Number,Trinomial,USFS.Number,MNA.Number,NN.Number,Other.Designations
665,Aragon,1050,1225,1050,1225,75,,36,726518,3751658,,LA 3270; LA 8079,,,,,,,
708,Aztec,1050,1275,1050,1275,750,,13525,767672,4080788,,LA 45,,,,,,,
720,Pueblo Pintado,1000,1300,1060,1300,90,,3346,799927,3986515,,LA 574,,,29MC166,,,,
727,Morris 39,875,1300,1200,1300,300,,4556,747943,4082548,,LA 1897; LA 1903; LA 1926,,,,,,,
728,Holmes Group,975,1250,1150,1250,500,,1909,751443,4090298,,LA 1898,,,,,,,
730,Flora Vista,1175,1275,1225,1300,150,,5067,759969,4075422,,LA 2514,,,,,,,
733,Jaquez,1000,1250,1100,1300,200,,3046,757570,4064586,,LA 2609,,,,,,,
734,Fort Wingate,875,1150,1100,1250,100,,554,723688,3932280,,LA 2690,,,,,,,
735,Newcomb Community,975,1175,900,1300,400,,139,705338,4017513,,LA 3223,,,,,,,
743,Twin Angels,975,1300,1200,1300,19,,503,773305,4052620,Kutz Canyon Pueblo,LA 5642,,,,,,,
745,Lizard House--Cebolleta Mesa,1175,1300,1200,1250,66,,165,780163,3850345,,LA 11672,,,,,,,
750,Skunk Springs,850,1275,900,1300,203,,774,701591,4012703,,LA 7000,,,,,,,
754,Crumbled House,1050,1300,1200,1300,420,,192,699564,4010757,,LA 7070; LA 7080,,,,,,,
811,LA 8240,1025,1300,1250,1300,33,,240,711828,3991287,,LA 8240,,,,,,,
824,Salmon,1050,1300,1200,1285,195,,143005,765586,4065874,,LA 8846,,,,,,,
870,Raton Well,,,1200,1325,65,,,813267,3979318,,LA 14354,,,,,,,
876,Reservoir Ruin,,,1150,1250,75,,,809940,3973140,Chaco Mesa PIII,LA 15278,,,,,,,CM100
879,Eagle Nest,,,1100,1300,38,,,723902,4071376,,,,,,,,,CGP 652
903,Kello Blancett,1050,1300,1090,1280,750,,298,763879,4077000,,LA 59967,,,,,,,
906,Morris' Old Fort,1150,1300,1200,1300,75,,177,748558,4066051,,LA 61051,,,,,,,
964,Hinkson Ranch,1100,1300,1200,1275,476,,17282,682727,3852700,,LA 11439,NM M:1:6-32,,,,,,
967,Miller Ranch,,,1200,1275,60,,202,723837,3871250,,LA 31603; LA 31606,,,,,,,
971,Kin Cheops II,1025,1300,1150,1250,100,,94,735283,3827570,,LA 48029,,,,,,,
977,Eagle Crag,1050,1300,1100,1350,100,,230,606275,3964325,,,,,,,,,
984,Sunrise Springs GH,,,1050,1250,250,,,614374,3940435,,,,,,,NA 2358,,R45
989,Kinlichee,1000,1250,1050,1250,150,,9294,642857,3957960,,LA  77252,,,,,NA 8022,,R84
994,Cornfields,1100,1300,1150,1250,275,,754,621574,3947743,,,AZ K:6:1,,,,NA 989,AZ-K-6-2-NN,Reagan A
1098,Tom's Rock,1025,1300,1100,1275,100,,116,745057,3817900,,LA 55366,,,,,,,
1099,Goesling,1150,1300,1150,1300,200,,245,683680,3809690,,LA 4026,,,,,,,
1103,Hubble Corner,1175,1300,1175,1275,130,,1236,736597,3818100,,LA 8112; LA 8113,,,,,,,
1239,Bean Patch,1150,1300,1150,1300,58,,99,670510,3835209,,,AZ Q:8:12 (ASM),,,,,,
1240,Garcia Ranch,1150,1300,1150,1300,150,,1763,674487,3824434,,,AZ Q:8:5 (ASM),,,,,,
1244,Carter Ranch Pueblo,1100,1275,1115,1250,45,,33995,598996,3819199,,,,,,,,,
1256,Seven Springs,1050,1300,1050,1300,175,,551,637459,3849669,,,AZ Q:3:70 (ASM),,,,,,
1288,Village of the Great Kivas,1025,1225,1200,1250,60,,365,709707,3897370,,LA 631,,,,,,,
1307,Fenced Up Horse Canyon,1050,1300,1100,1250,153,,113,716699,3930057,,LA 16279,,,,,,,
1314,Los Gigantes,1100,1300,1225,1275,120,,4262,736737,3887260,,LA 56159,,,,,,,
1316,Spier 81,1050,1300,1200,1275,371,,642,714487,3887930,,LA 109768,,,,,,,ZAP:NM:12:J3:147
1365,Wupatki,1075,1250,1130,1275,102,,53256,466195,3930915,,,,,,,NA 405,,
1368,Lukachukai GH,1050,1225,1130,1250,30,,176,652757,4034681,,,AZ E:11:18,,,,,,
1373,Antelope House,1050,1250,1050,1250,100,,2291,639851,4002395,,,AZ E:15:1 (ASM),,,,NA 879,,
1376,White House,1000,1300,1200,1280,94,,1964,637717,3999840,,,,,,,NA 2187,,
1377,Salina Springs,1050,1300,1200,1275,75,,140,602457,3987510,,,,,,,NA 2376,AZ-I-63-9-NN,
1394,Ridge Ruin,1050,1250,1150,1250,21,,87144,466788,3896820,,,,,,,NA 1785; NA 3673,,
1531,Burnt Corn GH,1075,1300,940,1300,50,,553,578087,3994960,,,,,,,NA 850,AZ-J-58-62-NN,
1552,Morris 33,,,1200,1300,15,,,,,,,,,5MT2831,,,,
1618,Castle Rock Pueblo,1100,1275,1100,1280,70,,41945,693394,4135134,,,,,5MT1825,,NA 48,,
1934,LA 4030,,,1100,1250,75,,,682717,3809979,,LA 4030,,,,,,,
1935,Morris 41,975,1300,1200,1300,500,,11510,750051,4096618,,LA 5631,,,,,,,
1942,Cerro Prieto--Quemado,1025,1300,1150,1240,175,,355,718457,3829700,,LA 48656,,,,,,,
1945,Tse Taak'a,,,1150,1300,200,,,712819,4070185,,,,,,,,,
1946,Twin Towers,1050,1250,1150,1300,50,,2369,681637,4085968,,LA 69925,NM A:1:45,,,,,,
1967,Atsee Nitsaa,1050,1300,1050,1300,50,,321,684727,3918160,,LA 1507,,,,,,,
