"SWSN_ID","SWSN_Site","EASTING","NORTHING"
665,"Aragon",726518,3751658
708,"Aztec",767672,4080788
720,"Pueblo Pintado",799927,3986515
727,"Morris 39",747943,4082548
728,"Holmes Group",751443,4090298
730,"Flora Vista",759969,4075422
733,"Jaquez",757570,4064586
734,"Fort Wingate",723688,3932280
735,"Newcomb Community",705338,4017513
743,"Twin Angels",773305,4052620
745,"Lizard House--Cebolleta Mesa",780163,3850345
750,"Skunk Springs",701591,4012703
754,"Crumbled House",699564,4010757
811,"LA 8240",711828,3991287
824,"Salmon",765586,4065874
870,"Raton Well",813267,3979318
876,"Reservoir Ruin",809940,3973140
879,"Eagle Nest",723902,4071376
903,"Kello Blancett",763879,4077000
906,"Morris' Old Fort",748558,4066051
964,"Hinkson Ranch",682727,3852700
967,"Miller Ranch",723837,3871250
971,"Kin Cheops II",735283,3827570
977,"Eagle Crag",606275,3964325
984,"Sunrise Springs GH",614374,3940435
989,"Kinlichee",642857,3957960
994,"Cornfields",621574,3947743
1098,"Tom's Rock",745057,3817900
1099,"Goesling",683680,3809690
1103,"Hubble Corner",736597,3818100
1239,"Bean Patch",670510,3835209
1240,"Garcia Ranch",674487,3824434
1244,"Carter Ranch Pueblo",598996,3819199
1256,"Seven Springs",637459,3849669
1288,"Village of the Great Kivas",709707,3897370
1307,"Fenced Up Horse Canyon",716699,3930057
1314,"Los Gigantes",736737,3887260
1316,"Spier 81",714487,3887930
1365,"Wupatki",466195,3930915
1368,"Lukachukai GH",652757,4034681
1373,"Antelope House",639851,4002395
1376,"White House",637717,3999840
1377,"Salina Springs",602457,3987510
1394,"Ridge Ruin",466788,3896820
1531,"Burnt Corn GH",578087,3994960
1618,"Castle Rock Pueblo",693394,4135134
1934,"LA 4030",682717,3809979
1935,"Morris 41",750051,4096618
1942,"Cerro Prieto--Quemado",718457,3829700
1945,"Tse Taak'a",712819,4070185
1946,"Twin Towers",681637,4085968
1967,"Atsee Nitsaa",684727,3918160
1988,"Cox Ranch",702990,3807002
1989,"Largo Gap",720901,3808695
2132,"JR's Entremetido",703832,3844611
2474,"Rocky Point Site",648937,3895200
2512,"Tsintaa Yitilii",610637,3964964
2542,"Plaza Site",556551,3902471
2575,"Round Rock GH",641737,4040251
2602,"Dancing Rock GH",625938,4062202
2748,"Jackson Lake",748098,4077361
2760,"LA 29441",748459,4083226
2766,"LA 37601",747546,4081936
2791,"The Gap--San Juan",682798,4046392
2856,"South Ruin",741576,3880144
2915,"Tri-R",746984,3821450
2982,"FSOP02 Great Kiva",723705,3865828
2985,"Bosson Wash GH",687437,3887930
2997,"Casa Mosca",780508,3849758
2999,"Dittert Ranch",777477,3839435
3000,"LA 102391",777465,3840703
3001,"LA 11670",780293,3850343
3002,"Las Ventanas",790393,3874766
3003,"10 Acre Ruin",647236,4163846
3004,"5 Acre Ruin",643837,4156903
3005,"Albert Porter",694215,4151766
3006,"Allentown",669570,3903409
3007,"Andrews",771652,3921810
3008,"Andrews Great Kiva AZ",636074,3900545
3009,"Ansell Hall",686737,4167652
3010,"AR-03-01-02-130",520215,3822050
3011,"AR-03-01-02-1441",508542,3824313
3012,"AR-03-01-02-150",523806,3825582
3013,"AR-03-01-02-1531",539037,3818635
3014,"AR-03-01-02-287",528917,3819327
3015,"AR-03-01-02-292",528552,3819520
3017,"Arch Canyon",617343,4156353
3018,"AZ K:13:41 (ASM)",610636,3875060
3019,"AZ K-3:13:2",608950,3891750
3020,"AZ P:11:124 (ASU)",585200,3809300
3021,"AZ P:11:130 (ASU)",581000,3807500
3022,"AZ P:11:55 (ASU)",565977,3796340
3023,"AZ P:11:57 (ASU)",566858,3799360
3024,"AZ P:12:105 (ASU)",577836,3815000
3025,"AZ P:12:128 (ASM)",580837,3790750
3026,"AZ P:12:404 (ASM)",576895,3814555
3027,"AZ P:12:76 (ASU)",577036,3814100
3028,"AZ P:12:99 (ASU)",576186,3814500
3029,"AZ P:16:153 (ASM)",578917,3787700
