SWSN_ID,Site,Type,Count,Begin,End,Length,Chronology,cyberSW,painted
665,Aragon,Alma Plain,6,300,1000,700,0,0,0
665,Aragon,"Cibola White Ware, Undifferentiated",4,550,1325,775,0,1,1
665,Aragon,"Mogollon Corrugated Brown Ware, Undifferentiated",1,800,1400,600,0,0,0
665,Aragon,Mogollon Indented Corrugated Brown Ware,2,1000,1400,400,0,0,0
665,Aragon,"Mogollon Patterned Corrugated Brown Ware, Smudged",1,1000,1400,400,0,0,0
665,Aragon,Mogollon Plain Brown Ware,1,300,1400,1100,0,0,0
665,Aragon,Mogollon Plain Corrugated Brown Ware,1,900,1400,500,0,0,0
665,Aragon,"Mogollon Plain Corrugated Brown Ware, Smudged",1,900,1400,500,0,0,0
665,Aragon,Puerco Black-on-white,1,1030,1200,170,1,1,1
665,Aragon,Red Mesa Black-on-white,3,880,1040,160,1,1,1
665,Aragon,"Red Ware type, Undifferentiated",2,700,1700,1000,0,0,0
665,Aragon,Reserve Black-on-white,1,1050,1200,150,1,1,1
665,Aragon,San Francisco Red,1,550,950,400,0,0,0
665,Aragon,Snowflake Black-on-white,3,1100,1275,175,1,1,1
665,Aragon,St. Johns Polychrome,1,1200,1300,100,1,1,1
665,Aragon,Tularosa Fillet Rim,4,1100,1350,250,0,0,0
665,Aragon,Wingate Black-on-red,2,1050,1225,175,1,1,1
665,Aragon,Wingate Polychrome,1,1100,1225,125,1,1,1
708,Aztec,Alma Plain,1,300,1000,700,0,0,0
708,Aztec,Aztec Black,2,1200,1300,100,0,1,0
708,Aztec,Bancos Black-on-white,2,825,1000,175,1,1,1
708,Aztec,Black Mesa Black-on-white,6,1000,1100,100,1,1,1
708,Aztec,"Black-on-red, Undifferentiated",20,700,1700,1000,0,1,1
708,Aztec,Blue Shale Corrugated,4,925,1150,225,0,0,0
708,Aztec,Brimhall Black-on-white,1,1040,1150,110,1,1,1
708,Aztec,Cameron Polychrome,14,1040,1170,130,1,1,1
708,Aztec,Cedar Creek Polychrome,1,1300,1350,50,1,1,1
708,Aztec,Chaco Black-on-white,31,1075,1150,75,1,1,1
708,Aztec,Chaco-McElmo Black-on-white (carbon paint),480,1090,1175,85,1,1,1
708,Aztec,Chuska Black-on-white,21,1040,1125,85,1,1,1
708,Aztec,"Cibola BMIII/PI White Ware, Type Undifferentiated",2,550,900,350,0,1,1
708,Aztec,"Cibola PII White Ware, Type Undifferentiated",87,880,1100,220,1,1,1
708,Aztec,"Cibola PII/PIII White Ware, Type Undifferentiated",5,1000,1300,300,1,1,1
708,Aztec,"Cibola PIII White Ware, Type Undifferentiated",1237,1100,1300,200,1,1,1
708,Aztec,Citadel Polychrome,14,1040,1200,160,1,1,1
708,Aztec,"Corrugated Gray Ware, Undifferentiated",3810,800,1400,600,0,0,0
708,Aztec,Cortez Black-on-white,11,880,1060,180,1,1,1
708,Aztec,Crumbled House Black-on-white,8,1150,1300,150,1,1,1
708,Aztec,Dogoszhi Black-on-white,16,1040,1210,170,1,1,1
708,Aztec,Dogoszhi Polychrome,45,1040,1320,280,1,1,1
708,Aztec,Dolores Corrugated,3,1100,1200,100,0,1,0
708,Aztec,Escavada Black-on-white,82,1000,1100,100,1,1,1
708,Aztec,Flagstaff Black-on-white,3,1150,1220,70,1,1,1
708,Aztec,Gallup Black-on-white,150,1040,1150,110,1,1,1
708,Aztec,Hunter Corrugated,2,1100,1300,200,0,1,0
708,Aztec,Kayenta Polychrome,1,1250,1320,70,1,1,1
708,Aztec,Mancos Black-on-white,406,980,1180,200,1,1,1
708,Aztec,Mancos Corrugated,1,920,1180,260,0,0,0
708,Aztec,Mancos Gray,2,880,1060,180,0,1,0
708,Aztec,McElmo Black-on-white,1107,1060,1260,200,1,1,1
708,Aztec,McElmo/Mesa Verde Black-on-white,119,1060,1280,220,1,1,1
708,Aztec,Medicine Black-on-red,5,1040,1170,130,1,1,1
708,Aztec,Mesa Verde Black-on-white,2304,1180,1280,100,1,1,1
708,Aztec,"Mesa Verde Corrugated Gray Ware, Undifferentiated",2,920,1280,360,0,0,0
708,Aztec,Mimbres Style III Black-on-white (Classic),1,1010,1130,120,1,1,1
708,Aztec,Moccasin Gray,2,800,980,180,0,1,0
708,Aztec,Mogollon Patterned Corrugated Brown Ware,2,1000,1400,400,0,0,0
708,Aztec,"Mogollon Plain Brown Ware, Smudged",2,300,1400,1100,0,0,0
708,Aztec,"Mudware, Undifferentiated",2,400,1400,1000,0,0,0
708,Aztec,Naschitti Black-on-white,2,900,1000,100,1,1,1
708,Aztec,Nava Black-on-white,33,1100,1275,175,1,1,1
708,Aztec,Newcomb Black-on-white,1,875,1000,125,1,1,1
708,Aztec,Piedra Black-on-white,1,800,920,120,1,1,1
708,Aztec,"PII Gray Rim, Type Undifferentiated",24,900,1100,200,0,1,0
708,Aztec,"PII/PIII Gray Rim, Type Undifferentiated",166,900,1300,400,0,0,0
708,Aztec,"PIII Gray Rim, Type Undifferentiated",15,1100,1300,200,0,1,0
708,Aztec,"Plain Brown Smudged, Undifferentiated",1,400,1450,1050,0,0,0
708,Aztec,"Plain Brown Ware, Undifferentiated",30,400,1450,1050,0,0,0
708,Aztec,"Plain Gray Ware, Undifferentiated",176,500,1300,800,0,0,0
708,Aztec,Polacca Black-on-white,1,1150,1250,100,1,1,1
708,Aztec,"Polychrome, Undifferentiated",3,700,1900,1200,0,1,1
708,Aztec,Puerco Black-on-red,141,1000,1175,175,1,1,1
708,Aztec,Puerco Black-on-white,7,1030,1200,170,1,1,1
708,Aztec,Red Mesa Black-on-white,5,880,1040,160,1,1,1
708,Aztec,"Red Ware type, Undifferentiated",29,700,1700,1000,0,0,0
708,Aztec,Reserve Black-on-white,8,1050,1200,150,1,1,1
708,Aztec,Showlow Red,63,1000,1100,100,0,1,0
708,Aztec,Snowflake Black-on-white,1,1100,1275,175,1,1,1
708,Aztec,Sosi Black-on-white,13,1070,1180,110,1,1,1
708,Aztec,St. Johns Black-on-red,45,1200,1300,100,1,1,1
708,Aztec,St. Johns Polychrome,86,1200,1300,100,1,1,1
708,Aztec,Taylor Black-on-white,8,1000,1100,100,1,1,1
708,Aztec,Toadlena Black-on-white,35,975,1125,150,1,1,1
708,Aztec,Tsegi Black-on-orange,2,1225,1300,75,1,1,1
708,Aztec,Tsegi Orange,1,1250,1300,50,1,1,1
708,Aztec,Tsegi Red-on-orange,1,1200,1300,100,1,1,1
708,Aztec,Tularosa Black-on-white,1,1180,1300,120,1,1,1
708,Aztec,Tularosa Fillet Rim,2,1100,1350,250,0,0,0
708,Aztec,Tusayan Black-on-red,84,1045,1240,195,1,1,1
708,Aztec,Tusayan Polychrome,2,1110,1320,210,1,1,1
708,Aztec,"Type, Undifferentiated",9,200,1900,1700,0,0,0
708,Aztec,"White Mountain type, Type Undifferentiated; Early",164,1000,1300,300,0,0,1
708,Aztec,"White ware, Undifferentiated",2115,550,1900,1350,0,0,1
708,Aztec,Wingate Black-on-red,80,1050,1225,175,1,1,1
708,Aztec,Wingate Polychrome,145,1100,1225,125,1,1,1
708,Aztec,Woodruff Smudged,11,500,1100,600,0,0,0
720,Pueblo Pintado,Black Mesa/Sosi Black-on-white,4,1000,1180,180,1,1,1
